name,link,get image
Laptop ASUS ExpertBook P5 P5405CSA-NZ0017W,https://cellphones.com.vn/laptop-asus-expertbook-p5-p5405csa-nz0017w.html,True
Laptop ASUS Vivobook S 14 OLED M5406WA-PP071WS,https://cellphones.com.vn/laptop-asus-vivobook-s-14-oled-m5406wa-pp071ws.html,True
Laptop ASUS TUF Gaming F16 FX607JV-N3199W,https://cellphones.com.vn/laptop-asus-tuf-gaming-f16-fx607jv-n3199w.html,True
Laptop ASUS TUF Gaming F15 FX507VV-LP304W,https://cellphones.com.vn/laptop-asus-tuf-gaming-f15-fx507vv-lp304w.html,True
Laptop Dell Latitude 5550 71047019,https://cellphones.com.vn/laptop-dell-latitude-5550-71047019.html,True
Laptop LG Gram 2023 16Z90R-G.AH76A5,https://cellphones.com.vn/laptop-lg-gram-2023-16z90r-g-ah76a5.html,True
Laptop Lenovo LOQ 15IRX9 83DV00UGVN,https://cellphones.com.vn/laptop-lenovo-loq-15irx9-83dv00ugvn.html,True
Laptop MSI Cyborg 15 A1VEK-053VN,https://cellphones.com.vn/laptop-msi-cyborg-15-a1vek-053vn.html,True
Laptop Gaming Acer Nitro V ANV15-51-75GS,https://cellphones.com.vn/laptop-gaming-acer-nitro-v-anv15-51-75gs.html,True
Laptop ASUS TUF Gaming F15 FX507VV-LP157W,https://cellphones.com.vn/laptop-asus-tuf-gaming-f15-fx507vv-lp157w.html,True
Laptop Lenovo LOQ 15ARP9 83JC003YVN,https://cellphones.com.vn/laptop-lenovo-loq-15arp9-83jc003yvn.html,True
Laptop LG Gram 2024 14Z90S-G.AH75A5,https://cellphones.com.vn/laptop-lg-gram-2024-14z90s-g-ah75a5.html,True
Laptop ASUS TUF Gaming F16 FX607JU-N3139W,https://cellphones.com.vn/laptop-asus-tuf-gaming-f16-fx607ju-n3139w.html,True
Laptop LG Gram 2024 2in1 14T90S-G.AH55A5,https://cellphones.com.vn/laptop-lg-gram-2024-2in1-14t90s-g-ah55a5.html,True
Laptop ASUS TUF Gaming A15 FA507NV-LP061W,https://cellphones.com.vn/laptop-asus-tuf-gaming-a15-fa507nv-lp061w.html,True
Laptop MSI Katana 15 B13VFK-676VN,https://cellphones.com.vn/laptop-msi-katana-15-b13vfk-676vn.html,True
Laptop Dell Inspiron 14 5440 71034770,https://cellphones.com.vn/laptop-dell-inspiron-14-5440-71034770.html,True
Laptop ASUS TUF Gaming F15 FX507VU-LP315W,https://cellphones.com.vn/laptop-asus-tuf-gaming-f15-fx507vu-lp315w.html,True
Laptop ASUS Vivobook S14 OLED S5406SA-PP060WS,https://cellphones.com.vn/laptop-asus-vivobook-s14-oled-s5406sa-pp060ws.html,True
Laptop HP Envy X360 2IN1 14-FC0162TU AY8X1PA,https://cellphones.com.vn/laptop-hp-envy-x360-2in1-14-fc0162tu-ay8x1pa.html,True
Laptop MSI Prestige 14 AI Studio C1UDXG-058VN,https://cellphones.com.vn/laptop-msi-prestige-14-ai-studio-c1udxg-058vn.html,True
Laptop ASUS Zenbook 14 Oled UX3405MA-PP151W,https://cellphones.com.vn/laptop-asus-zenbook-14-oled-ux3405ma-pp151w.html,True
Laptop ASUS Vivobook S 14 OLED S5406MA-PP198WS,https://cellphones.com.vn/laptop-asus-vivoboook-s-14-oled-s5406ma-pp198ws.html,True
Laptop ASUS Zenbook 14 OLED UX3405MA-PP588W,https://cellphones.com.vn/laptop-asus-zenbook-14-oled-ux3405ma-pp588w.html,True
Laptop ASUS TUF Gaming A15 FA507NVR-LP091W,https://cellphones.com.vn/laptop-asus-tuf-gaming-a15-fa507nvr-lp091w.html,True
Laptop LG Gram 2024 14Z90S-G.AH55A5,https://cellphones.com.vn/laptop-lg-gram-2024-14z90s-g-ah55a5.html,True
Laptop ASUS TUF Gaming F15 FX507VU-LP198W,https://cellphones.com.vn/laptop-asus-tuf-gaming-f15-fx507vu-lp198w.html,True
Laptop MSI Gaming Katana AI B8VE-402VN,https://cellphones.com.vn/laptop-msi-gaming-katana-a15-ai-b8ve-402vn.html,True
Laptop Acer Swift Go 14 AI SFG14-73-71ZX NX.KSLSV.002,https://cellphones.com.vn/laptop-acer-swift-go-14-ai-sfg14-73-71zx.html,True
Laptop Lenovo LOQ 15IAX9 83GS000RVN,https://cellphones.com.vn/laptop-lenovo-loq-15iax9-83gs000rvn.html,True
Laptop ASUS  VivoBook S 16 OLED S5606MA-MX051W,https://cellphones.com.vn/laptop-asus-vivobook-s-16-oled-s5606ma-mx051w.html,True
Laptop ASUS VivoBook S 14 OLED S5406MA-PP136W,https://cellphones.com.vn/laptop-asus-vivobook-s-14-oled-s5406ma-pp136w.html,True
